Book title,Author,Description,Price
"[""Простими словами. Як розібратися у своїй поведінці""]","[""Ілля Полудьонний, Марк Лівін""]","[""Тематика \n Психологія, ментальне здоров'я, гештальт-терапія. \n Про книжку  \n  Чому люди так по-різному реагують на ту чи іншу подію? Чому хтось сміється, хтось плаче, хтось бере дистанцію, а комусь навпаки треба близькість? Чому декому вдається перетворювати злість та образу на любов, а""]","[""300""]"
"[""Простими словами. Як розібратися у своїх емоціях""]","[""Ілля Полудьонний, Марк Лівін""]","[""Зрозуміти свої емоції та перемогти. \n Тематика \n Психологія, емоції, ментальне здоров’я. \n Про книжку  \n Розум: та все добре! У тебе є робота, дах над головою, їжа і друзі.   Емоції: щось так тоскно.   Якщо ви переживали схоже й не могли втямити, у чому річ — ця книжка для вас. У""]","[""250""]"
"[""Мислення швидке й повільне""]","[""Деніел Канеман""]","[""Книжка «Мислення швидке й повільне» психолога й економіста Деніела Канемана стала бестселером New York Times та Amazon. Її також визнано книжкою року за версією New York Times Book Review, The Economist, The Wall Street Journal і Globe and Mail (2011) та переможцем National Academy of""]","[""390""]"
"[""12 правил життя. Як перемогти хаос""]","[""Джордан Пітерсон""]","[""Правила життя від контроверсійного канадського психолога. \n Тематика \n Саморозвиток, психологія. \n Про книжку  \n У сучасному світі толерантність часто підміняє мораль, спільноти — індивідуальність, а повага до думки інших — готовність захищати власну позицію. Принаймні, так""]","[""240""]"
"[""Шум. Хибність людських суджень""]","[""Деніел Канеман, Кас Санстейн, Олів'є Сібоні""]","[""  \n  Бестселер New York Times  \n  Від автора  «Мислення швидке й повільне» , викладачів Гарварду та Оксфорду  \n ТЕМАТИКА \n Психологія, економіка, соціологія, право, медицина, ухвалення рішень, судження. \n ПРО КНИЖКУ \""ШУМ. ХИБНІСТЬ ЛЮДСЬКИХ СУДЖЕНЬ\"" \n Ви дізнаєтеся:""]","[""390""]"
"[""Візьмися вже до справи, трясця!""]","[""Моніка Свіні""]","[""Навчіться планувати справи на кілька днів уперед! \n Завдяки цьому щоденнику ви зможете впорядкувати власні справи, позбавитися розчарування, а також підбити підсумки всьому тому, що йде до біса добре. У ньому ви знайдете підказки, які допоможуть не відволікатися від виконання завдань і взяти звичку""]","[""180""]"
"[""Стоїцизм на кожен день. 366 роздумів про мудрість, стійкість і мистецтво жити""]","[""Раян Голідей, Стівен Генсільман""]","[""Книжка навчить підходити до владнання будь-яких проблем як справжній стоїк — із самовладанням, мудрістю та стійкістю. \n  Книга є оновленим виданням вже відомої Вам  \n   Зберігайте спокій. Щоденна інструкція з вирішення проблем .  \n  ТЕМАТИКА КНИГИ \""СТОЇЦИЗМ НА КОЖЕН ДЕНЬ\""""]","[""300""]"
"[""Злови дзен. Щоденник для вправляння в мистецтві не зважати ні на що""]","[""Моніка Свіні""]","[""На сторінках цього щоденника пропоную повправлятися в мистецтві не зважати ні на що, віддати належне вашим унікальним чеснотам, забаганкам, надзвичайній крутості, а ще помахати миготливими маленькими прапорцями, щоб відзначити всю ту чудову чортівню, яка звідусіль вас оточує.   Вирушайте цим""]","[""180""]"
"[""Есенціалізм. Мистецтво визначати пріоритети (оновл. вид.)""]","[""Ґреґ Маккеон""]","[""Ця книга є оновленим виданням вже відомої Вам  \n  \""Коротко і по суті. Мистецтво визначати пріоритети\"".   \n Концепцію Есенціалізму успішно застосовують в Google, Facebook, Twitter, LinkedIn. \n  ТЕМАТИКА КНИГИ \""ЕСЕНЦІАЛІЗМ. МИСТЕЦТВО ВИЗНАЧАТИ ПРІОРИТЕТИ\""  \n Саморозвиток,""]","[""250""]"
"[""Витончене мистецтво забивати на все. Нестандартний підхід до проблем""]","[""Марк Менсон""]","[""Бестселер New York Times, що переконає вас: позитивного мислення може бути забагато. Книжка навчить конструктивно сприймати негативний досвід та допоможе відшукати надійне підґрунтя для щасливого життя. \n Тематика \n Саморозвиток, психологія, мотиваційна література. \n Про книжку \n Ми живемо в""]","[""230""]"
